Proposer,Voters
0xaAFdbe6CE2eA8668118e3587725ad945B6e522C8
,0xBFeD0536C21fD60340Ab8059927dBAFEDEcbc137
,0x336f66c9049B03A6020514720fd90d77DA63c627
,0xDB74cd6B73EBB7F648feEbE16875cca49a146684
,0x7E05382A7463bffD77fd09B44Ed261Dd72D74AA1
,0xF2906F72563E69DF1a784b335de0dC15b3e3A784
,0x0dbaD0327be615BC216c99C0b3f7206131E2cC54
,0x73FB81c7f1896D35d33449acAed6E7DBff22e097
,0xFbFd9708E6B5c09d61819eB67AC6c15203B190Ca
,0x88D34E4820524e210Eb211eB31b09F3194429C0f
,0x70f110E1DD29dD7A697dDa4167C02253b5f702F7
,0xDB6302240d35D9154E681dA01FCAcC728CdEB96D
,0x966157d1828502d328E0BAFD73428e144567cfD2
,0xE678238EAb63163d7AC8a7ddCB649597CbE6CD63
,0x28098448872023Af0408a8FDD2Dc84F991f7A942
,0xd49D49a8C8e500F40a4bdE260678D116e4ae1bff
,0xAC5280D4886F0682B72EEF1A04efb33E85AC92CD
,0x158AC8B6c4bAC117Cf305aE5d61576913Addca48
,0xc22509bc7206FD93E1BF7e2318226Ad8F94B6891
,0x1E5C5286c2BE24257254eFbb38867708F00F50f3
,0x5daA9f78AEb6de580177c4E170FeDf15E4774c00
,0xec05cb9E2Cc38CD0cC9486409a8194ed7E0d6ed4
,0xd1C4fd4B8618B4b0E93Bc38bdF9189F2b0781329
,0xF39235F3A3083C2a7F2daA18422578038fF2f9DC
,0xA513eeCC335455ff60B0705A4Cfe7aece089A174
,0x7db490A3A98969237EB041CFb0AefADcBD1F7DAe
,0x3a09d509eBed5f9F0414a0FB43EA7E4EB94bf272
,0x97b43F9ec3e33BF78fc80BD88b066752B27c8b60
,0x5E7640D402A344c4552FD55C8465744f3bF2B2B5
,0x3129c6546e0Ba68C1370F1318BF3d4583ab50013
,0x47fF6c88dc4587e7985C58F6E50ef7e62b660143
,0xaEE106B7789c6FD0B78C92f6736a23347b3Cd35F
,0xe2E45EAF0076ee3844984989499ad6321c0eCa32
,0x0430c94Ce88A66325a2D1E3088797D4D229B2EBf
,0xDB9d3830Eb409f760Eee8D9C73c8782616e49Fbd
,0x265f8c3504cB0101473a9A8aF0B6e9E0B3c22617
,0x43D59B39673dd1E2214c02189f90758896fc3b75
,0x85c72BF480a60fb4AdB867874B73aAf67606c03A
,0x78247aC5c6847d7408ED3eb0Ad4916e53ef405F9
,0x91728f4747c56728456cd78eDCe832930A703cCb
,0x2C447250e242f1Dd67bc6278376ff9C354C35327
,0x870E47C81635AF2F12D7145A6F437830C97287E6
,0xD7981bd3dB4cA39fF55654d73B39b0FD5212D2D1
,0xb3803EFC8563B55fe07a1496628C6779b5055ef0
,0x5a2E58b38EEbF83E0212917ece6973289525cc66
,0xeD708d620517c463c5b3f77b5c20608296b3fd9C
,0xF259402e0409C5E2aa37649e745ca5B08997e5d7
,0x0366799ab0daa548e05b31c1dbde90aE87A60D03
,0x435CC93de49A231dd572311c9CECB92795B27537
,0xBb93Bd60F925B02fD6fcd727D571AF2d2d555E08
,0x8B24DBd143e4d3973706dE0117eFd41ae22863f5
,0x723c1ED068244befA25eCD261777cDFCC4a8e41D
,0x85a432c344eE57cb7Fe0631D2b75F53a1a105913
,0x70623990E7fca02da86Fd3f8BCd6B35a645e5756
,0x5274151d8322bC7c8768d414564e60C8fDcc0a8b
,0xf14364B58254a279afbB38e3Bc4ea951c6E7240E
,0x9267220d13E2C957e615B50b22Be593fAea0cF15
,0x7e04b71858941718E2fD1c63eB99899596d16DA8
,0xAea17AC94e09eC1A7CFD76C457F8B19f94e762B9
,0x2255C1AEDf2812cEe968509eBd7035762716e37E
,0x197E3Bb5a42871a6921cFFDB5C3A7B4f6D02729A
,0xf8035A401f3593a9871A1b1dcbF930012bE1ceF4
,0x5265d0b685CB25a2959361Bc99893C3e5B89035C
,0xf6B34077F3Ed2E2113A3ECD4460BbB8eF3295877
,0xF37aFCf0555aB5e660cBb2C336BBd4482ab5761a
,0x78519Ee7D50Af76b90370E9DCFd053115427B828
,0x185e3E3E08df011cC84Dd5bd8AeA389d5948fBff
,0x4854714C1f05434151a2a1128130bab2B103fA9f
,0x3F36c1d4f443E160BdA6AC6eB318aB7ACb03024a
,0x7B76E5E6383e489d529fD1206d4921527c155390
,0x609305EBa1D2029117b944DbEe062BfFc0788527
,0x9A69c3e36E28453edE750286Eba1eEB64e85BfC2
,0xd42C088D26a72EDbDD75cfDC3dFFFe3785CA5f96
,0xCd6017B229F07064BA8CD67CC95edA44962c3aB6
,0x913c1954F6C77c8ffb3F849C4DE78636545350B4
,0x092667BEAA1893B77C00925F9D96fD4016ccd489
,0xFc047A7DbEa678644fD108f0608C3Ded4c2C5E31
,0xB46d9F68EB4b7cb0c26EC7BDfa1Bdd45c143eDa7
,0x3582971e65BeFdf2a5db422D4038D2Eb188c01e2
,0x635B5f3aC6A0D4A478ceF73E2fdEF21a6eAD0db2
,0x0d0A8E7830a9110a9537944378661b0DcD1E34Fb
,0x6F3823Ca98174051C8B9BefF36Ae263B5E3a8DAD
,0x63dcfb982bA479F884BdF4EBE7c12AD88aB2d95e
,0x3DF12d8b1f1c1DB6742589b6Ca7EdAA6B4a6CB98
,0x23347Cb4cBBB7D4AB3738a04613Df6Bd27AA75A5
,0x6ECaCC16e2835902Dd52E9FbE6698018B295f6F5
,0x3106Bc041c6fe552C59d6c7e9dD0Ee8e5ee96359
,0x19822Fc49B7d2c229855453b851B89B17829eE64
,0x974378B133a4338f3D071C8689c173a31bBA3b36
,0xa382BB56dB82c6d914880CeA7762CE87b5095bB9
